RBR XR-620  6.60 018573 (Windows: 6.13 - Minimum required: 6.13)
Host time     18/06/22 09:41:55
Logger time   18/06/22 09:42:03
Logging start 18/04/30 08:24:20
Logging end   18/06/15 15:00:00
Sample period          00:01:00
Number of channels =  3, number of samples =  66636, mode: Logging Complete
N03%9.4f
Calibration  1: -0.002382818000000
                154.906994200000010
                0.000000000000000
                0.000000000000000 mS/cm
Calibration  2: 0.003426915600263
                -0.000257234520228
                0.000002313140325
                -0.000000071195509 Degrees_C
Calibration  3: 8.129605369038000
                930.138389642962010
                20.635332533391001
                1.799385691527000 deciBars
Correction to conductivity: 1.4000000e-005 -2.0000000e-004 1.4900000e+001 7.0000000e-007
Memory type: 6 AT45DB642D_LP
Averaging: NONE
Logger start:Now 

     Cond      Temp      Pres  Salinity  DensAnom 
  -0.0024   17.4700    9.7862 -1000.0000 -1000.0000 
  -0.0025   17.5868    9.7807 -1000.0000 -1000.0000 
  -0.0006   17.6839    9.7830 -1000.0000 -1000.0000 
  -0.0017   17.7410    9.7842 -1000.0000 -1000.0000 
  -0.0018   17.7795    9.7880 -1000.0000 -1000.0000 
   0.0003   17.8242    9.7845    0.0091 -1000.0000 
  -0.0020   17.2533    9.7801 -1000.0000 -1000.0000 
  -0.0005   18.2788    9.7843 -1000.0000 -1000.0000 
  -0.0015   18.0713    9.7819 -1000.0000 -1000.0000 
  -0.0024   17.8372    9.7890 -1000.0000 -1000.0000 
  -0.0027   18.4748    9.7972 -1000.0000 -1000.0000 
  34.9571   13.1398   10.2585   29.2285   21.9004 
  34.9099   13.1436   10.1501   29.1819   21.8632 
  34.8407   13.1357   10.1857   29.1238   21.8199 
  34.8721   13.1288   10.1680   29.1583   21.8478 
  34.8716   13.1343   10.1531   29.1535   21.8430 
  34.8385   13.1358   10.1533   29.1217   21.8182 
  34.8357   13.1377   10.1481   29.1176   21.8146 
  34.8285   13.1407   10.1461   29.1087   21.8071 
  34.8206   13.1461   10.1500   29.0972   21.7973 
  34.8143   13.1564   10.1516   29.0835   21.7847 
  34.8123   13.1506   10.1516   29.0861   21.7878 
  34.8060   13.1528   10.1531   29.0786   21.7816 
  34.8049   13.1610   10.1533   29.0712   21.7743 
  34.8031   13.1614   10.1618   29.0693   21.7728 
  34.7989   13.1650   10.1594   29.0627   21.7670 
  34.7939   13.1676   10.1552   29.0561   21.7614 
  34.7905   13.1726   10.1618   29.0491   21.7551 
  34.7900   13.1764   10.1608   29.0458   21.7518 
  34.7860   13.1786   10.1666   29.0404   21.7473 
  34.7814   13.1833   10.1659   29.0325   21.7402 
  34.7754   13.1851   10.1715   29.0255   21.7345 
  34.7741   13.1900   10.1714   29.0206   21.7298 
  34.7702   13.1921   10.1693   29.0154   21.7254 
